title,title href,logoImage src,comp-name,comp-name href,rating href,main-2,review,expwdth,ni-job-tuple-icon,locWdth,job-desc,dot-gt,dot-gt 2,dot-gt 3,dot-gt 4,dot-gt 5,dot-gt 6,dot-gt 7,dot-gt 8,job-post-day
Associate Product Manager- APM - B2B - SaaS Product ( 2 - 4 yrs),https://www.naukri.com/job-listings-associate-product-manager-apm-b2b-saas-product-2-4-yrs-tracxn-bangalore-bengaluru-karnataka-2-to-4-years-310124004726,https://www.naukri.com/hotjobs/images/v3/tracxndec17.gif,Tracxn,https://www.naukri.com/tracxn-jobs-careers-2524780,https://www.ambitionbox.com/reviews/tracxn-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.2,433  Reviews,2-4 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka",MBA is not mandatory. - Been a consistent performer throughout your college and career....,Product Development,IT product Development,Product Management,New Product Design,New Product Development,Online product Management,IT product Management,Startup,Today
Tracxn - Associate Product Manager - B2B - SaaS Product ( 2 - 4 yrs),https://www.naukri.com/job-listings-tracxn-associate-product-manager-b2b-saas-product-2-4-yrs-tracxn-bangalore-bengaluru-karnataka-2-to-4-years-310124004722,https://www.naukri.com/hotjobs/images/v3/tracxndec17.gif,Tracxn,https://www.naukri.com/tracxn-jobs-careers-2524780,https://www.ambitionbox.com/reviews/tracxn-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.2,433  Reviews,2-4 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka",MBA is not mandatory. - Been a consistent performer throughout your college and career....,Product Management,Product Development,IT product Development,New Product Design,New Product Development,Online product Management,IT product Management,Startup,Today
Product Manager,https://www.naukri.com/job-listings-product-manager-ibm-india-pvt-limited-bangalore-bengaluru-5-to-9-years-300124905932,https://www.naukri.com/hotjobs/images/v3/ibmsep14.gif,IBM,https://www.naukri.com/ibm-jobs-careers-16987,https://www.ambitionbox.com/reviews/ibm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,19553  Reviews,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,Support technical sales in pre-sales customer engagements to help advance deals where d...,Product management,data security,Product planning,Presales,Market research,Design engineering,Customer satisfaction,product life cycle,1 Day Ago
Digital Innovation Manager,https://www.naukri.com/job-listings-digital-innovation-manager-siemens-limited-bangalore-bengaluru-3-to-7-years-300124501665,https://img.naukimg.com/logo_images/groups/v1/40604.gif,Siemens,https://www.naukri.com/siemens-jobs-careers-73816,https://www.ambitionbox.com/reviews/siemens-india-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,4154  Reviews,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Bachelor sin business, Innovation Management, Information Systems, Computer Science, or...",Product management,Business services,Product innovation,Product planning,Agile,German,innovation management,Business process management,1 Day Ago
Product Manager,https://www.naukri.com/job-listings-product-manager-novo-nordisk-india-bangalore-bengaluru-5-to-7-years-300124501612,https://img.naukimg.com/logo_images/groups/v1/4655807.gif,Novo Nordisk,https://www.naukri.com/novo-nordisk-jobs-careers-3943920,https://www.ambitionbox.com/reviews/novo-nordisk-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,802  Reviews,5-7 Yrs,Not disclosed,Bangalore/Bengaluru,"You re also data driven, analytical and able to think out-of-the-box ready to challenge...",Product management,Commercial marketing,Brand management,Pharma,Analytical,Brand marketing,Marketing campaigns,Life sciences,1 Day Ago
Production Executive,https://www.naukri.com/job-listings-production-executive-lal-sweets-bengaluru-2-to-3-years-300124004927,https://img.naukimg.com/logo_images/groups/v1/4607853.gif,Lal Sweets,https://www.naukri.com/lal-sweets-jobs-careers-975544,https://www.ambitionbox.com/reviews/lal-sweets-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,30  Reviews,2-3 Yrs,Not disclosed,Bengaluru,"Bachelors degree in Food Science, Food Technology, or a related field. Coordinate with ...",Production,Production Management,Production Planning,Production Supervising,Manpower Handling,Management,Planning,Executive Production,1 Day Ago
Azure Product Manager,https://www.naukri.com/job-listings-azure-product-manager-capgemini-technology-services-india-limited-bangalore-bengaluru-13-to-16-years-290124901101,https://www.naukri.com/hotjobs/images/v3/captech_jun20.gif,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,https://www.ambitionbox.com/reviews/capgemini-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,29393  Reviews,13-16 Yrs,Not disclosed,Bangalore/Bengaluru,"Experience working with Agile tools such as Jira, Confluence, Github etc. . Prefer to h...",Product management,Project development,github,Customer management,Cloud Essentials,GCP,IT infrastructure management,Agile development,2 Days Ago
Product Support Operation Lead,https://www.naukri.com/job-listings-product-support-operation-lead-jacobs-bangalore-bengaluru-4-to-8-years-290124502791,https://img.naukimg.com/logo_images/groups/v1/4604773.gif,Jacobs,https://www.naukri.com/jacobs-jobs-careers-35922,https://www.ambitionbox.com/reviews/jacobs-engineering-group-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,804  Reviews,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,"Ensuring support tickets are properly closed, including ensuring Knowledge Center Servi...",Product engineering,operational support,Machine learning,Cloud,Data processing,Customer service,Product support,SQL,1 Day Ago
Product Owner,https://www.naukri.com/job-listings-product-owner-anz-banking-group-bangalore-bengaluru-4-to-8-years-290124502690,https://img.naukimg.com/logo_images/groups/v1/952808.gif,ANZ,https://www.naukri.com/anz-jobs-careers-114439,https://www.ambitionbox.com/reviews/anz-banking-group-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,916  Reviews,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,. Use metrics to ensure feedback from customers is captured as well as continually revi...,Analytical skills,Solution design,Design engineering,Finance,Banking,Customer service,Management,Salesforce,1 Day Ago
Product Manager 4,https://www.naukri.com/job-listings-product-manager-4-juniper-networks-india-pvt-ltd-bangalore-bengaluru-6-to-10-years-290124500981,https://img.naukimg.com/logo_images/groups/v1/583728.gif,Juniper Networks,https://www.naukri.com/juniper-networks-jobs-careers-845030,https://www.ambitionbox.com/reviews/juniper-networks-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,330  Reviews,6-10 Yrs,Not disclosed,Bangalore/Bengaluru,Define a vision and strategy for evolving OS components for next-gen AI-driven cloud...,Product management,Juniper routers,Networking,Artificial Intelligence,Machine learning,Manager Technology,IP networking,Continuous improvement,1 Day Ago
Product Owner - US Payments,https://www.naukri.com/job-listings-product-owner-us-payments-capco-technologies-pvt-ltd-chennai-bangalore-bengaluru-8-to-13-years-290124500956,https://img.naukimg.com/logo_images/groups/v1/4586641.gif,Capco,https://www.naukri.com/capco-jobs-careers-114714,https://www.ambitionbox.com/reviews/capco-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.7,401  Reviews,8-13 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru","Understanding of the basic payment hub architecture, the surround systems for payment h...",Product management,Data migration,Payment processing,ISO,Time management,Diversity and Inclusion,Agile,payment gateways,1 Day Ago
Principal Product Manager,https://www.naukri.com/job-listings-principal-product-manager-walmart-labs-bangalore-bengaluru-8-to-10-years-220523500744,https://img.naukimg.com/logo_images/groups/v1/1293920.gif,Walmart,https://www.naukri.com/walmart-jobs-careers-168845,https://www.ambitionbox.com/reviews/walmart-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,2009  Reviews,8-10 Yrs,Not disclosed,Bangalore/Bengaluru,Drives the execution of multiple business plans and projects by identifying customer ...,Product management,Computer science,Data analysis,Networking,Project management,Consulting,Manager Technology,Market research,Just Now
Associate - Product Owner,https://www.naukri.com/job-listings-associate-product-owner-morgan-stanley-advantage-services-pvt-ltd-bangalore-bengaluru-4-to-8-years-160523502275,https://img.naukimg.com/logo_images/groups/v1/228864.gif,Morgan Stanley,https://www.naukri.com/morgan-stanley-jobs-careers-28261,https://www.ambitionbox.com/reviews/morgan-stanley-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.7,1173  Reviews,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,Bachelor s degree . Preferred: Agile development experience in a product or analyst rol...,Wealth management,Senior Analyst,Agile development,Manager Program Management,Business strategy,Investment banking,Customer service,Investment management,Just Now
Sr. Product Manager,https://www.naukri.com/job-listings-sr-product-manager-vmware-india-bangalore-bengaluru-5-to-8-years-100523503058,https://img.naukimg.com/logo_images/groups/v1/162630.gif,VMware,https://www.naukri.com/vmware-jobs-careers-228364,https://www.ambitionbox.com/reviews/vmware-software-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.4,945  Reviews,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,"As a Senior Product Manager   , you will contribute to and build strategies for the...",Product management,Computer science,User research,Analytical skills,VMware,Interpersonal skills,project support,Focus,Just Now
Product Manager,https://www.naukri.com/job-listings-product-manager-phonepe-bangalore-bengaluru-5-to-7-years-040523500514,https://img.naukimg.com/logo_images/groups/v1/2872246.gif,Phonepe,https://www.naukri.com/phonepe-jobs-careers-3568676,https://www.ambitionbox.com/reviews/phonepe-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,1560  Reviews,5-7 Yrs,Not disclosed,Bangalore/Bengaluru,Most of all it will require a proven track record of shipping world-class product solut...,Automation,Analytical,international travel,Manager Technology,Wellness,Application development,Medical insurance,Analytics,Just Now
Product / Market Readiness Manager / Analyst,https://www.naukri.com/job-listings-product-market-readiness-manager-analyst-financial-software-systems-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-10-to-12-years-180124500545,,Financial Software Systems,https://www.naukri.com/financial-20software-20systems-jobs-careers-2700964,https://www.ambitionbox.com/reviews/financial-software-systems-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.7,641  Reviews,10-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Minimum experience of 10-12 years in product management for Manager . Minimum 5-7 years...,Product management,Senior Analyst,Focus,Individual Contributor,Analysis,Marketing,Management,Production,13 Days Ago
Product Manager II,https://www.naukri.com/job-listings-product-manager-ii-zeta-inc-mumbai-bangalore-bengaluru-5-to-10-years-040124500816,https://img.naukimg.com/logo_images/groups/v1/481500.gif,Zeta Inc.,https://www.naukri.com/zeta-jobs-careers-63588,https://www.ambitionbox.com/reviews/zeta-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.4,195  Reviews,5-10 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru",Prior Experience in Payment Systems is highly desirable . An engineering / technical ba...,Product management,Loans,Payment processing,Payment systems,Back office,System design,Manager II,banking products,27 Days Ago
Product Manager,https://www.naukri.com/job-listings-product-manager-aditya-birla-financial-shared-services-limited-thane-maharashtra-mumbai-all-areas-2-to-6-years-310124006156,https://img.naukimg.com/logo_images/groups/v1/4657887.gif,Aditya Birla Finance,https://www.naukri.com/aditya-birla-finance-jobs-careers-5647178,https://www.ambitionbox.com/reviews/aditya-birla-finance-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,734  Reviews,2-6 Yrs,Not disclosed,"Thane, Maharashtra, Mumbai (All Areas)","Requirement Definition: Clearly define and document product requirements, including use...",Product Life Cycle Management,Product Strategy,Product Promotion,Product Launch,Product Planning,Management,Promotions,Planning,Few Hours Ago
Associate Product Owner,https://www.naukri.com/job-listings-associate-product-owner-sun-life-global-solutions-gurugram-haryana-bangalore-bengaluru-karnataka-delhi-ncr-9-to-14-years-180923006912,https://img.naukimg.com/logo_images/groups/v1/10059566.gif,SUN Life Global Solutions,https://www.naukri.com/sun-life-global-solutions-jobs-careers-1136814,https://www.ambitionbox.com/reviews/sun-life-global-solutions-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.8,10  Reviews,9-14 Yrs,Not disclosed,"Hybrid - Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka, Delhi / NCR",Preferred candidate profile Analytical skills required for evaluation of digital opport...,Product Owner,Product Management,Client Engagement,Requirement Analysis,Business Analysis,Client,Engagement,Requirements,7 Days Ago
Digital Product Analyst,https://www.naukri.com/job-listings-digital-product-analyst-alcon-pharmaceuticals-pvt-ltd-bangalore-bengaluru-2-to-5-years-300124500385,,Alcon Pharmaceuticals,https://www.naukri.com/alcon-pharmaceuticals-jobs-careers-3851136,https://www.ambitionbox.com/reviews/alcon-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.5,332  Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Designs, develops, and implements statistical and analytical methods, examines proc...",Product Analyst,Training,Analytical,Linguistics,Programming,Analytics,Recruitment,Digital Product,1 Day Ago
Associate Product Definition Analyst,https://www.naukri.com/job-listings-associate-product-definition-analyst-amadeus-software-labs-india-pvt-ltd-bangalore-bengaluru-2-to-5-years-290124500790,https://img.naukimg.com/logo_images/groups/v1/1245684.gif,Amadeus,https://www.naukri.com/amadeus-jobs-careers-146968,https://www.ambitionbox.com/reviews/amadeus-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,474  Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"- Works autonomously within defined processes and procedures or methodologies,...",Product management,Analyst,Test strategy,Compliance,Project management,Agile,Investigation,Test planning,1 Day Ago
Medical Technologies-Software Product Development Lead,https://www.naukri.com/job-listings-medical-technologies-software-product-development-lead-accenture-solutions-pvt-ltd-bangalore-bengaluru-10-to-12-years-260124907426,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,10-12 Yrs,Not disclosed,Bangalore/Bengaluru,Must have skills :Medical Technologies Good to have skills :NA Minimum 12 year(s) of ex...,Medical devices,Dicom,Image processing,Sales process,Firmware development,Critical care,Software product development,Client interaction,4 Days Ago
Advanced Embedded System Engineering-Software Product Development Lead,https://www.naukri.com/job-listings-advanced-embedded-system-engineering-software-product-development-lead-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-10-years-260124907361,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Must have skills :Advanced Embedded System Engineering Good to have skills :NA Minimum ...,System engineering,Software product development,Sales process,Mechanical engineering,Software engineering,Solution design,Cost,Engineering,4 Days Ago
"XaaS Technical Product Management, IBM Infrastructure",https://www.naukri.com/job-listings-xaas-technical-product-management-ibm-infrastructure-ibm-india-pvt-limited-bangalore-bengaluru-1-to-6-years-250124911899,https://www.naukri.com/hotjobs/images/v3/ibmsep14.gif,IBM,https://www.naukri.com/ibm-jobs-careers-16987,https://www.ambitionbox.com/reviews/ibm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,19553  Reviews,1-6 Yrs,Not disclosed,Bangalore/Bengaluru,You will be responsible for grooming the backlog with the right set of capabilities for...,Cloud computing,HP data protector,Cloud Services,Competitive intelligence,Corporate strategy,Business planning,Cloud,Computation,5 Days Ago
Product Manager,https://www.naukri.com/job-listings-product-manager-ibm-india-pvt-limited-bangalore-bengaluru-5-to-9-years-250124911113,https://www.naukri.com/hotjobs/images/v3/ibmsep14.gif,IBM,https://www.naukri.com/ibm-jobs-careers-16987,https://www.ambitionbox.com/reviews/ibm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,19553  Reviews,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,Required Technical and Professional Expertise . Atleast 5+ years of relevant experience...,Product management,Engineering services,Product planning,Market research,Product marketing,Customer satisfaction,pricing strategy,Catering,5 Days Ago
Global Product Manager,https://www.naukri.com/job-listings-global-product-manager-novo-nordisk-india-bangalore-bengaluru-6-to-11-years-250124500444,https://img.naukimg.com/logo_images/groups/v1/4655807.gif,Novo Nordisk,https://www.naukri.com/novo-nordisk-jobs-careers-3943920,https://www.ambitionbox.com/reviews/novo-nordisk-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,802  Reviews,6-11 Yrs,Not disclosed,Bangalore/Bengaluru,. Certification and recertification of promotional material based on already approved c...,Global marketing,Medical affairs,Market development,Brand management,Pharma,Analytical,Project management,Pharma marketing,6 Days Ago
Global Product Manager,https://www.naukri.com/job-listings-global-product-manager-novo-nordisk-india-bangalore-bengaluru-6-to-11-years-250124500443,https://img.naukimg.com/logo_images/groups/v1/4655807.gif,Novo Nordisk,https://www.naukri.com/novo-nordisk-jobs-careers-3943920,https://www.ambitionbox.com/reviews/novo-nordisk-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,802  Reviews,6-11 Yrs,Not disclosed,Bangalore/Bengaluru,"This job is in Bangalore, India. International travel will be required for 5-10 da...",Market development,Brand management,Project management,Pharma,Analytical,Healthcare,Content writing,Customer engagement,6 Days Ago
Product Manager 4,https://www.naukri.com/job-listings-product-manager-4-juniper-networks-india-pvt-ltd-bangalore-bengaluru-9-to-13-years-250124500392,https://img.naukimg.com/logo_images/groups/v1/583728.gif,Juniper Networks,https://www.naukri.com/juniper-networks-jobs-careers-845030,https://www.ambitionbox.com/reviews/juniper-networks-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,330  Reviews,9-13 Yrs,Not disclosed,Bangalore/Bengaluru,Define a vision and strategy for evolving OS components for next-gen AI-driven cloud...,Product management,Juniper routers,Usage,Networking,Artificial Intelligence,Machine learning,Manager Technology,IP networking,6 Days Ago
Tracxn - Product Manager Internship - B2B - SaaS Product (1 - 2 years),https://www.naukri.com/job-listings-tracxn-product-manager-internship-b2b-saas-product-1-2-years-tracxn-bengaluru-1-to-2-years-150124003705,https://www.naukri.com/hotjobs/images/v3/tracxndec17.gif,Tracxn,https://www.naukri.com/tracxn-jobs-careers-2524780,https://www.ambitionbox.com/reviews/tracxn-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.2,433  Reviews,1-2 Yrs,4-9 Lacs PA,Bengaluru,The role also offers a possibility of transitioning into a full-time Associate Product ...,Product Development,Product Management,New Product Design,IT Product Management,It Product Development,New Product Development,Online Product Management,Startup,2 Days Ago
Digital Product Owner,https://www.naukri.com/job-listings-digital-product-owner-acuity-knowledge-partners-bangalore-bengaluru-10-to-20-years-111023007230,https://img.naukimg.com/logo_images/groups/v1/4609355.gif,Acuity Knowledge Partners,https://www.naukri.com/acuity-knowledge-partners-jobs-careers-991396,https://www.ambitionbox.com/reviews/acuity-knowledge-partners-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.5,758  Reviews,10-20 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,"Assess ROI, develop cases, and prioritize features to deliver maximum valueDefine MVP (...",Product owner,Product Strategy,Product Management,Investment Banking,Product Roadmap,Product Planning,Agile Product Development,Digital Product,7 Days Ago
Senior Product Manager,https://www.naukri.com/job-listings-senior-product-manager-zycus-infotech-pune-maharashtra-bengaluru-mumbai-all-areas-2-to-6-years-010923007676,https://www.naukri.com/hotjobs/images/v3/zycusaug15.gif,Zycus Infotech,https://www.naukri.com/zycus-infotech-jobs-careers-1864,https://www.ambitionbox.com/reviews/zycus-infotech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.5,357  Reviews,2-6 Yrs,14-24 Lacs PA,"Hybrid - Pune, Maharashtra, Bengaluru, Mumbai (All Areas)",Total experience: relevant experience: 4-6 yrs (relevant Product Management Experience)...,Logical Approach,B2B,product management,Product Roadmap,Prototyping,Agile Product Development,Analytical Ability,Wireframing,Just Now
